Date,City,State,Victims,Notes
2/11/2023,MINNEAPOLIS,MN,1,Car stolen with child inside. Car and child found unharmed. 
2/12/2023,WILMINGTON,DE,2,Children in car stolen while unattended and parent occupied. Children found unharmed and suspect arrested later. 
2/14/2023,GREENPORT,NY,1,Car stolen with 1 month inside when grandma went inside store. Grandma and other citizen chased car down and police arrested perp. Car and child returned unharmed.  
2/19/2023,MACON,GA,1,Girl stole car with child inside from someone she knew. 
2/21/2023,ZION,IL,2,Perp allegedly hopped in car when adult left it running to go into a business. Suspect still on the loose. 
2/22/2023,HOUSTON,TX,1,Car stolen when adult went into gas station and left child unattended. 
2/23/2023,LIBERTYVILLE,IL,1,"Pregnant mom was pulling into driveway and took one of her 2 children inside. When she came back outside for other child, two suspects came over, knocked her down, stole her car with her child inside and ran her over. The child was eventually found but the car and suspect were not. "
2/24/2023,UPPER CHICHESTER,PA,1,Car stolen with child in it. Child returned back to parents within 15 minutes.
2/26/2023,WATERLOO,IA,1,"Mom left child in car to go shop, and returned to find car and child missing. Child and car returned. "
2/27/2023,LAWRENCE,MA,1,Car stolen with child in backseat. Car and child returned unharmed. Two suspects arrested. 
3/1/2023,KENT,WA,3,Car stolen with 3 children left unattended alone inside. Toddler fell out of car seat and car as suspect drove away. Car and children found eventually; suspect on the loose. 
3/1/2023,UPPER DARBY,PA,1,Child left in car aloen and car stolen. Car and child later found unharmed. Suspect on the loose. 
3/2/2023,FARGO,ND,1,Car stolen with child alone inside. Child and car unharmed; suspect apprehended. 
3/2/2023,EASTCHESTER,NY,1,Car stolen while parent was trying to get other child to bus stop and left 1 child in car alone. Car abandoned and child and car left unharmed. Suspect on loose. 
3/6/2023,HARRIS COUNTY,TX,1,Car stolen with child alone inside. Car and child found unharmed; suspects fled the scene. 
3/9/2023,PUEBLO,CO,1,Car stolen with child/teen inside by car theft recedivist. Man apprehended and arrested. Car and child unharmed and returned safely. 
3/11/2023,PORTSMOUTH,VA,1,Car stolen with infant inside from parking lot of restaurant. Car and toddler found later. 
3/12/2023,HARRISBURG,PA,1,Parents left child in car while they went to home's front door to lock it. Teen stole car. Child and car found unharmed eventually. 
3/21/2023,LAWTON,OK,1,Car stolen while mom inside restaurant getting food. Car and child found safe & unharmed. Suspect on the loose. 
3/23/2023,ZANESVILLE,OH,2,Car stolen with 2 children inside. Car and children later recovered. Suspect arrested. 
3/23/2023,FALLS CHURCH,VA,1,Car stolen with child inside after couple left it in backseat and held gun point in store. car and child found safely. 
3/24/2023,OMAHA,NE,3,Car stolen from driveway with 3 children. Car and children found safely unharmed. 
3/29/2023,ALBUQUERQUE,NM,2,Duo stole car with children in back seat. 
3/29/2023,OMAHA,NE,1,Car stolen with five year old child inside. Car and child found unharmed. Suspects on the loose. 
3/30/2023,BRONX,NY,1,Car stolen while parents unloading groceries. Baby in backseat. Car and child later found unharmed. Suspect on the loose. 
4/4/2023,ALBEMARLE COUNTY,VA,2,Car stolen with two children left unattended by nanny. Car and children found later. Suspect on the loose. 
4/4/2023,ST. CLAIR,MO,1,"Van stolen with 1 year old boy inside. Suspect on the loose, but van and boy found safely. "
4/8/2023,VANCOUCER,WA,1,Car stolen while mom and dad making juice order. Car and baby returned. Suspect arrested. 
4/9/2023,VANDALIA,IL,1,Car stolen from parking lot with 2 year old inside. Suspect took police on wild chase then was caught and apprehended. Car and baby safe. 
4/13/2023,RALEIGH,NC,1,Child and car stolen while child inside unattended. Child and car returned/abandoned. Suspect on the loose. 
4/15/2023,MIAMI,FL,2,Car stolen after two children left in running vehicle unattended. Car and children found safe; suspect on the loose. 
4/22/2023,PALMER TOWNSHIP,PA,1,Mom left girl in car unattended to go inside supermarket and 16 year old teen stole the car. Child and car returned safely; 16 y/o apprehended. 
4/24/2023,CHAPEL HILL,NC,1,Girl in car unattended stolen from parking lot of shopping center. Girl found; suspect and car later found. 
5/2/2023,INDIANAPOLIS,IN,1,"Baby left in car unattended & running that was stolen. AMBER ALERT issued, but child later found and safe. "
5/6/2023,HOUSTON,TX,1,"Thief stole car with child in back seat, then dumped car and child. Suspect still on the loose. "
5/9/2023,WASHINGTON,DC,2,Woman got out of car briefly and man she knew jumped in car and stole it with 2 kids inside. Kids safe; suspect on the loose. 
5/13/2023,KINGS COUNTY,CA,2,Man stole trailer attached to truck with 2 kids inside. Man arrested; kids & truck/trailer returned safely. 
5/15/2023,FORT WORTH,TX,1,Car stolen with child inside while parent was not present. 
5/15/2023,HOQUIAM,WA,2,Two children left unattended in minivan had it stolen by unknown suspect. Car and suspect later found; children unharmed. 
5/20/2023,PHILADELPHIA,PA,1,Man stole car with young girl inside and car crashed. Suspect arrested and victim/car safe. 
5/23/2023,PHILADELPHIA,PA,1,Teen stole car with 1 year old inside. 
5/24/2023,SUFFOLK,VA,1,Car stolen outside of convenience store with child inside. Car and child later found. 
5/25/2023,CONCORDIA PARISH,MS,3,Two juveniles stole a car with 3 children inside until police caught and arrested them. 
5/27/2023,TAMPA,FL,1,Delivery driver left child in car while making a delivery and suspect came up and stole the car with the baby inside. Car and suspect later caught. 
6/1/2023,HOLLY HILL,FL,1,Parents left child in car and then man jumped inside and stole car with child inside. Later dumped the child. Car and suspect on the loose. 
6/2/2023,LAURELHURST,CA,1,"Man stole car from apartment building while left child briefly to go get another child. Car, child and man all found; man apprehended. "
6/5/2023,LANSING,IL,2,Man stole car with children inside from parking lot of bank. 
6/15/2023,SAVANNAH,GA,1,Boy left alone in car forced to get out by two teens who decided to steal it. Boy later found walking down street alone crying. Teens apprehended.
6/16/2023,JERSEY CITY,NJ,1,16-year-old stole car with baby inside and took police on chase. Later dumped baby and car; both safe but suspect apprehended. 
6/16/2023,SAINT LOUIS,MO,1,Child in stolen car okay after thief abandoned child and car nearby. 
6/17/2023,BROWARD COUNTY,FL,1,Child left in stolen car in IHOP parking lot found safe; suspect on loose. 
6/21/2023,WASHINGTON,DC,1,Person stole car with female child inside. Car and little girl later found. 
6/28/2023,LEXINGTON,KY,1,Car stolen with child inside from parking lot of a Speedway. Car and child later found. 
6/29/2023,CHARLOTTE,NC,1,Two teens stole car with 7 year old inside. 
7/5/2023,IRVINGTON,NJ,1,Car stolen with boy left unattended inside. Car and boy later recovered shortly thereafter. 
7/5/2023,BRECKENRIDGE HILLS,MO,1,"Child left in car unattended and then car stolen. Amber alert issued, but cancelled after child found wandering in parking lot alone unharmed. Car and suspect still missing. "
7/10/2023,BRENTWOOD,NY,1,Child's car stolen out of parking lot of a Checkers restaurant with child inside; child found later. 
7/10/2023,PARRISH,AL,1,Car stolen with baby boy inside who was left by father. Child and car later recovered.
7/13/2023,BLAINE,WA,1,"Car stolen with minor inside. Car, child and suspect later found. Suspect arrested and charged. "
7/14/2023,DORCHESTER,MA,1,Car stolen with baby inside and later found. Suspect still on the loose. 
7/25/2023,NEW ORLEANS,LA,1,Child left in car running that was then stolen. Car found & suspect arrested. 
8/3/2023,GREEN,OH,3,"Man stole car with three children inside, then crashed the car into a building and let 2 children out. Kept driving, then let the last child out. Fled on foot, but was eventually caught. "
8/8/2023,DELRAN,NJ,3,"Man stole car with three children inside from parking lot, then drove it to motel where he was caught. "
8/9/2023,WASHINGTON,DC,1,Car stolen with child left alone in SUV. Car and child later recovere.d
8/10/2023,ST. ANN,MO,1,Man stole car with child inside from parking lot of gas station. He crashed the car and got caught by police. Child unharmed and suspect caught. 
8/13/2023,CENTRAL BROWARD,FL,1,Car stolen with child inside reported on street. Child found later but not car; unclear if child was inside car when found. 
8/14/2023,DURHAM,NC,1,Man left child inside car running when 6 people stole it and led police on a chase. They stopped then left the car there and took off on foot. Child and car discovered safely; suspects apprehended. 
8/17/2023,TALLAHASSEE,FL,1,Woman stole car another woman left running with child inside and led police on a car chase. She then tried to flee ca but was caught. 
8/18/2023,SAINT LOUIS,MO,1,Car stolen in parking lot of gas station with infant inside after mom got out to pump gas. Suspect jumped in and stole car. Car and baby later found. 
8/19/2023,BAKERSFIELD,CA,2,Mom left two children in car and then it was stolen by female stranger. 
8/22/2023,PRINCE GEORGES COUNTY,MD,1,Boy sitting in car alone and running is surprised when it is stolen by an unknown thief. Boyfound safe; suspect still on the loose with car. 
8/23/2023,GATES,NY,1,"Woman pulled up to nail shop with 2 month old inside and got out briefly to signal friend when another female suspect jumped in and stole the car and sped off. Baby, car & suspect found later. "
8/31/2023,NASHUA,NH,1,"Mom got out of car at Walgreens to drop off movie & left daughter in car with engine running, when suspect hopped in car & begin to pull off until she stopped him. "
9/5/2023,ATLANTA,GA,1,Child left in car unattended is found when iPhone pings and police use it to locate car and child. 
9/7/2023,OKLAHOMA CITY,OK,1,"Child left inside running car while mom chased down dog, then suspect got in car and drove away. "
9/8/2023,LANCASTER,OH,2,Mom stopped man who began to pull off with her car with her two children left inside on a street; details a bit unclear about case though. 
9/15/2023,VERO BEACH,FL,1,Mom left boy inside car with AC running in order to go inside nail salon when suspect stole car and abandoned it and baby sometime later. 
9/17/2023,ELIZABETHTOWN,KY,1,Car stolen with baby inside. Later recovered and child found unharmed. Suspect on the loose. 
9/21/2023,SAN ANTONIO,TX,1,Child found safe after vehicle stolen with child left alone inside from 7-11 parking lot. Car and suspect still not found. 
10/4/2023,WINDSOR,CT,1,"Car stolen with 17 mos old child from in front of school. Thief then robbed a bank, and crashed the car trying to flee police and died. Baby was safe though. "
10/17/2023,BOYNTON BEACH,FL,1,Man stole car with 2 y/o old alone inside from gas station then ditched kid & car. 
10/16/2023,ROCHESTER,NY,1,Boy left in car when it was stolen because mom left him to go inside store gets minor injury. Perp still on the loose.  
10/20/2023,OAKHURST,CA,1,Child and stolen SUV found after it was taken with child inside outside of hair salon. 
10/21/2023,FORT WORTH,TX,1,"Car thieves saw 2 boys inside, threw older one out and stole car outside a home. Young boy and car found safe; suspects on the loose. "
10/31/2023,NEWARK,NJ,1,Car stolen with boy inside while dad went inside auto body shop/work to grab something. Car and child later found. AMBER ALERT cancelled. 
11/1/2023,CHICAGO,IL,1,Child left in car alone was in it when stolen. Car later dropped off at other location with child inside safely. 
11/6/2023,PENSACOLA,FL,1,Child sitting in mom's car when suspect jumped in and drove off. Car and child eventually found safe. Suspect arrested. 
11/8/2023,MARION COUNTY,OR,2,Mom left kids in running car to go inside 7-11 and get something when man jumped in car and begin to steal car until he was thwarted by mom and others. 
11/8/2023,LAREDO,TX,1,Infant left alone inside car when it was stolen. AMBER Alert issued and child and car found. Suspect arrested. 
11/13/2023,GREENVILLE COUNTY,SC,1,Car with child inside left running and unattended stolen. Child later found left on a porch. 
11/22/2023,EDEN,NC,1,Car stolen out of parking lot with 1 yr old inside. Child later dropped off at random location and car / suspects still on the loose. 
11/23/2023,SACRAMENTO,CA,1,Mom stepped out of car with it running to use ATM and left baby inside when she was robbed and carjacked. Child later found; car and suspect on the loose. 
11/27/2023,TAYLORSVILLE,UT,1,Male suspect jumps in car with female suspect's daughter in back after robbery to getaway from police. 
11/27/2023,PHILADELPHIA,PA,2,Two children found safe after being victims of a car robbery. 
11/29/2023,OGLETOWN,DE,1,Girl left unattended in back of stolen vehicle at 7/11. Car not found and suspect on the loose; child returned safely. 
11/30/2023,PORTLAND,OR,1,Girl left in car unattended is victim of stolen car and then is found wandering in street. Car dumped; suspect still on loose. 
12/4/2023,PASCO,WA,1,"Suspect stole running car with boy inside from driveway, then almost crashed into train. Boy safe and suspect caught & arrested. "
12/5/2023,WILKINSBURG,PA,1,Mom left baby in running car to go inside store and man stole it as well. 
12/5/2023,MENDENHALL,MS,2,Mom left her two children in the car unattended at a gas station and then it was stolen. Suspect arrested.
12/12/2023,HARTFORD,CT,1,Car stolen with child left in car unattended on street. Car & child abandoned short while after; suspect still on the loose. 
12/15/2023,SAN FRANCISCO,CA,1,Car stolen from outside Ingleside grocery market with girl alone inside. Car abandoned but suspect still on the loose.  
12/19/2023,LAFAYETTE,LA,1,Car stolen with Daughter sleeping in it alone and unattended. Car abandoned shortly thereafter & child safe. Suspect on the loos.e 
12/25/2023,RIVERHEAD,NY,1,"Mom arrested after leaving child in car unattended with heat on and then it was stolen. Car recovered and child safe, but suspect on the loose. "
12/25/2023,BURLINGTON,NC,2,"Car stolen with children inside when father went in store. Suspect crashed car then took off. Children safe, but suspect on the loose. "
12/26/2023,CHARLOTTE,NC,1,Car stolen with child left inside alone at gas station stolen. 
1/2/2022,GREENVILLE,SC,1,"Gas station, found nearby "
1/2/2022,SPARKS,NV,1,"Stolen, abandoned nearby shortly after"
1/6/2022,MINNEAPOLIS,MN,1,"Stolen, abandoned nearby shortly after"
1/7/2022,MID CITY,LA,1,"Stolen, abandoned nearby shortly after"
1/7/2022,MINNEAPOLIS,MN,1,"Stolen, abandoned nearby shortly after"
1/8/2022,CHICAGO,IL,1,"Stolen, abandoned nearby shortly after "
1/12/2022,KANSAS CITY,MO,1,"Stolen, abandoned nearby shortly after "
1/13/2022,MINNEAPOLIS,MN,2,"Stolen, abandoned nearby shortly after "
1/17/2022,ATLANTA,GA,1,"Stolen, abandoned nearby shortly after "
1/18/2022,WHITEHAVEN,TN,1,"Stolen, abandoned nearby shortly after "
1/20/2022,CHICAGO,IL,2,"Stolen, abandoned nearby shortly after "
1/12/2022,RAPID CITY,IA,2,"Stolen, abandoned nearby shortly after "
1/19/2022,YOUNGSTOWN,OH,1,"Stolen, abandoned nearby shortly after "
1/30/2022,SEDRO WOOLLEY,WA,1,"Car running, parent had secured 2 yr old and went back into the house to get another child"
1/31/2022,WILLMER,MN,1,No details available
2/2/2022,PHILADELPHIA,PA,2,"Stolen, abandoned nearby shortly after "
2/5/2022,CHICAGO,IL,1,"Stolen, abandoned nearby shortly after "
2/3/2022,SAN MATEO,CA,1,"Stolen, abandoned nearby shortly after "
2/3/2022,MAPLEWOOD,NJ,1,"Stolen, abandoned nearby shortly after "
2/3/2022,WASSILA,AK,1,"Stolen, abandoned nearby shortly after "
2/8/2022,NASHVILLE,TN,1,"Mom making food delivery in apartment parking lot, child found unharmed"
2/9/2022,COLUMBUS,OH,1,No details available
2/10/2022,PHILADELPHIA,PA,3,"Running vehicle with 3 children taken at gunpoint, mother stepped into friends house"
2/10/2022,MINNEAPOLIS,MN,1,Running vehicle with child left in car while mother made delivery to home 
2/10/2022,TOLEDO,OH,1,Running vehicle with 4 mon old in car while father went in to pay gas billl at Speedway station
2/12/2022,GREENWICH,CT,2,"Parent left ""children"" in car with engine running and went into store (article found in police blotter)"
2/12/2022,SECAUCUS,NJ,1,Father left car running with mother and child in back of car and went in to pay for gas - also adult case
2/13/2022,LEES SUMMIT,MO,2,Running vehicle with two under age of 4 - keyless running car - children recovered 
2/14/2022,BIRINGHAM,AL,2,Running vehicle with two under age of 4 - keyless running car - children recovered 
2/14/2022,CHICAGO,IL,2,"Car stopped to aid another vehicle, person jumped in and stole vehicle with child - child recovered "
2/15/2022,AUGUSTA,SC,1,"Car stolen outside gas station, child found hours later"
,CHICAGO,IL,1,"Keys left in ignition, vehicle running, stolen, car abandoned when child was discovered"
,MOUNT VERNON,WA,1,No details in article
,INDIANAPOLIS,IN,1,Car left running in street in front of house with child inside
,SAN ANTONIO,TX,1,"Infant left in running car while mother ran into convenience store, child found unharmed"
,WAUKEGAN,WI,1,"Left in running car outside a Dollar Store, unknown status on child"
2/20/2022,NEW YORK CITY,NY,1,No details available
2/22/2022,LEXINGTON,KY,1,"Father left child in car to go to pay gas, car stolen, abandoned close to station"
2/23/2022,HARTFORD,CT,1,"Car stolen, child let out nearby"
2/23/2022,CHICAGO,IL,3,"Car stolen, children let out nearby"
2/23/2022,MEMPHIS,TN,1,"Mother left vehicle running with 12 yr old inside, vehicle taken and mother runs after vehicle to rescue daughter"
2/24/2022,GAINESVILLE,FL,1,"Car stolen with child (unknow age), child returned unharmed"
2/25/2022,ALAMEDA,CA,1,"Mother stepped away from vehicle for a moment, found nearby unharmed"
2/25/2022,PORTLAND,OR,1,No details available
2/27/2022,SUNNYVALE,CA,1,"Car stolen, AMBER Alert issued, found 4 miles away later that day"
2/27/2022,CHICAGO,IL,1,"Car left running with child in back seat, abadoned vehicle shortly after theft"
2/28/2022,RACINE,WI,2,No details available
3/1/2022,WITCHITA,KS,1,"Keys in car, 11 month old in back taken from Walmart parking lot"
2/20/2022,PHILADELPHIA,PA,1,No details available
3/3/2022,TULSA,OK,1,No details available
3/4/2022,COLUMBUS,OH,1,"Keys left in car, child taken and recovered unharmed"
3/7/2022,RAYTOWN,MO,1,"CT JL stolen from gas station, police used puncture tacks to apprehend vehicle - child ok"
3/7/2022,COLORADO SPRINGS,CO,2,Vehicle stolen from gas station - not sure if left running or taken by force
3/15/2022,TUMWATER,WA,1, Keys left in car at gas station by parents
3/17/2022,PORTLAND,OR,1,Car stolen at hospital
3/19/2022,SAN ANTONIO,TX,2,UNK
3/21/2022,CLEVELAND,OH,2,UNK
3/24/2022,GREENWHICH,CT,1,UNK
3/25/2022,MILWAUKEE,WI,1,"Teen girl stole car and reported being sex trafficked to distract police from theft infant in car aand abducted infant, child reunited with parent, "
3/28/2022,GREENSBORO,NC,1,Details UNK
4/3/2022,BATON ROUGE,LA,1,No details available
4/1/2022,DETROIT,MI,1,"Woman stepped out to help passenger into hair shop and man jumped in running car, child unharmed recoverd by samaritan"
4/4/2022,TENAFLY,NJ,1,"Father left car running with 11 year on in car and stepped up to ATM, Audi A8 stolen with boy instide"
4/4/2022,ATLANTA,GA,1,"Car running as mother stepped out to drop donations at Goodwill, car taken at high speed and recovered by police, child unharmed"
4/5/2022,BOTHELL,WA,1,"Comimng home to apartment carrying materials into house, car stolen, amber alert released, child recovered unharmed"
4/7/2022,COLUMBUS,OH,2,No details available
4/8/2022,ATLANTA,GA,1,"Mother left keys in car and child in car, man jumped and drove away, police find boy using child's GPS on Iphone tracter app"
4/12/2022,JACKSONVILLE,FL,1,No details available
4/12/2022,AURORA,CO,1,No details available
4/13/2022,CHICAGO,IL,1,"Car stolen, child abandoned near Union Station"
4/13/2022,PEEKSKILL,NY,1,"Car stolen, chase ensued, car crashed, baby in good condition"
4/14/2022,TEMECULA,CA,1,"Car stolen outside home, "
4/14/2022,QUEENS,NY,1,No details in article
4/17/2022,AUSTIN,TX,2,"Stolen at laundromat, AMBER alert issued"
4/18/2022,WHEATON,IL,1,"Car stolen outside UPS store, child unharmed"
4/18/2022,CINCINNATTI,OH,1,Car stolen outside store with child inside when mother went inside; child unharmed & perp arrested later; car recovered
4/22/2022,SHREVEPORT,LA,1,"Car stolen outside restaurant, child recovered unharmed"
4/20/2022,OKLAHOMA CITY,OK,2,"Man tried to steal car, mom pulled him away, he ran"
4/23/2022,PATERSON,NJ,1,"Man stole car with the child inside, child recovered, unharmed; suspect got away "
4/26/2022,VANCOUVER,WA,1,"Car stolen from driveway as mother left it running with child inside, robber let child go but got away. Child recovered and unharmed. "
4/29/2022,EARLSBORO,OK,2,"Car stolen with 2 children inside. Suspect allegedly wrecked car, but was arrested eventually. "
4/30/2022,CHARLESTON,WV,1,"Car stolen from gas station as mother went inside and left it running. Daughter let out of car uninjured, but suspect got away."
4/30/2022,MERIDEN,CT,1,Car stolen from a parking lot as 8 month old baby slept inside; Jeep eventually recovered but suspects got away 
5/5/2022,LEE’S SUMMIT,MO,1,"Car stolen with teen sleeping in back, dropped off soon after"
5/6/2022,BUFFALO,NY,1,"Car stolen outside store with 6 year old left inside as dad went inside store. Car & boy recovered unharmed, but suspect fled on foot. "
5/8/2022,WHITE MESA,UT,1,"Car stolen with 5 year old girl inside after mom went into house; suspect crashed the car, which killed the girl "
5/13/2022,OKLAHOMA CITY,OK,1,Car stolen from in front in store as father went inside and left child inside; child unharmed and car recovered 
5/14/2022,KANSAS CITY,KS,1,"No details available on where taken, chase ensued, child unharmed"
5/17/2022,LANSING,MI,1,"Car stolen, collision, child unharmed"
5/18/2022,ST. PAUL,MN,1,"Four juveniles stole police car, crashed it and then were apprehended "
5/21/2022,WINSTON-SALEM,NC,1,Car stolen with kid inside when mom left it running to go insider store; car later found with kid inside 
5/21/2022,BOULDER,CO,2,Car stolen with drugs inside; car recovered; children unharmed 
5/23/2022,BALLARD,WA,1,"Car stolen, child unharmed "
5/24/2022,ST ALBANS,VT,1,"Car stolen from driveway of home, child unharmed; perp arrested; car recovered "
5/29/2022,MINNEAPOLIS,MN,5,Car stolen after parents left children in minivan and went to do something; car not recovered 
5/29/2022,YAKIMA,WA,1,Car stolen with child in it and recovered later; suspect still at large 
6/2/2022,LOS ANGELES,CA,1,Car stolen while changing tire; car abandoned with baby inside; suspect at large 
6/5/2022,COWETA,OK,1,Car stolen; infant and guns found inside; suspect arrested 
6/5/2022,YORK,PA,1,Child left in back seat of car asleep while parent went into store; thief stole car and drove off; thief arrested later 
6/5/2022,WILLIAMSBURG,VA,4,Children left in running car; suspect jumps in and starts to drive away; abandons car and childnre; suspect still on the loose 
6/6/2022,CANARSIE,NY,2,Two people jumped in a car running and then abandoned it when they noticed 2 children in the back 
6/7/2022,MEMPHIS,TN,1,Car stolen with child inside left unattended with 4 year old; boy hit in head and suspect got away after boy called parents inside car
6/9/2022,SWEETWATER,FL,1,Car stolen from in front of laundromat with child inside; 
6/9/2022,SEATTLE,WA,1,Car stolen with infant in it; then carjacker crashed the car which rolled over and he fled the scene; child is okay; suspect caught
6/9/2022,POCATELLO,ID,2,Car stolen from in front of supermarket with 2 children in it; car later abandoned and children found safely 
6/20/2022,INDIANAPOLIS,IN,1,Car stolen with 6 month old infant in it; car and infant later found unharmed 
6/23/2022,MIAMI,FL,1,"Car stolen by woman who told 10 year old to get out initially, but did not realize 9 mos old was in back; baby okay; suspect caught "
6/26/2022,LACEY,WA,1,Car stolen from a gas station by a suspect with a child in the back; car found later and child safe; suspect got away 
6/28/2022,KANSAS CITY,MO,1,Car stolen after mother went into store and left car running; car later recovered 
6/29/2022,CHALMETTE,LA,1,Car stolen outside of a business; the car and the child were later abandoned and left unharmed; suspect on the loose 
7/4/2022,HOBBS,NM,2,"Car stolen outside of a store after a mother went into a store; the suspect, car and children were all recovered "
7/6/2022,SYRACUSE,NY,1,Car stolen with 18 month old; car and child were later found; suspect on the loose 
7/9/2022,WINDSOR,CT,1,Car stolen with 5 year old inside. Child and car later found unharmed; suspect arrested.
7/9/2022,COMMERCE CITY,CO,1,Car stolen with 1 year old in it after parent left it running; suspect on the loose; child unharmed and found later 
7/9/2022,GRANTS PASS,OR,2,Car stolen with 2 children inside; suspect crashed the car; children unharmed and suspect arrested 
7/10/2022,ASHVILLE,AL,1,Car stolen when mom left it running while she went in store; child left unharmed; suspect caught 
7/11/2022,LOS ANGELES,CA,1,Car stolen with toddler in back seat; toddler unharmed and reunited with mom; suspect caught 
7/19/2022,REDAN,GA,1,Car stolen with 11 year old from home by 3 suspects; child unharmed; suspects still on the loose after crashing car after escaping
7/20/2022,AMARILLO,TX,1,Car stolen with child inside while parents went into store; child unharmed; suspect arrested 
7/24/2022,DES MOINES,WA,1,Car stolen with baby inside while mom was performing task; baby and car later found unharmed; suspect on the loose 
7/24/2022,TOLEDO,OH,1,Car stolen with 2 year old inside after mom left it running; car and child found unharmed; suspect on the loose 
7/26/2022,ATLANTA,TX,2,Car stolen with multiple children in the car; suspect led police on car chase; children okay; suspect arrested 
7/27/2022,TUALATIN,OR,1,Car stolen when dad leaves it running outside of pet store; baby unharmed; suspect caught after foot pursuit 
7/28/2022,ELIZABETH,NJ,1,Car stolen when mother left car outside ice cream shop; child unharmed and found; car not recovered & suspect on the loose 
7/29/2022,SOUTH BEND,IN,1,Car stolen after mother left car running with child inside when she went into house; child later found and car recovered; suspect on the loose 
7/30/2022,BROOKLYN,NY,1,"Car stolen after mother went into store. 10 year in backseat. Child kicked out before driver took off. Child unharmed, but no arrests. "
8/3/2022,WEST ORANGE,NJ,1,Car stolen after mother left it running while she went in store. Suspect later abandoned car once he saw kid inside. 
8/3/2022,MILWAUKEE,WI,1,"Car stolen from mother. Child later found in alley, but suspect and car not recovered. "
8/4/2022,WASHINGTON,DC,1,"Car stolen with young girl inside. Girl left unharmed and car found later. Suspect on the loose, but video helped with identity. "
8/5/2022,TAMPA,FL,1,Car stolen after mother had just gotten out with baby in it. Car recovered and baby unharmed. Suspect on the loose. 
8/6/2022,MURFREESBORO,TN,1,"Good Samaritans car stolen when they stopped to help someone. Woman stolen one of their cars with a child inside, crashed it into tree and took off on foot. "
8/10/2022,FLORISSANT,MO,1,Child left unattended in car and then stolen. Car found and child found. Amber alert sent. 
8/10/2022,CHICAGO,IL,1,Child left inside car at body shop while parent was dealing with something. Car pulled up and stole the Audi. Child found and unharmed. Suspect on the loose. 
